Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0016789358,0.00067691354,251.94635,251.94635,34.181522,1.8735833,-1.3331211,-0.0017870166,0.0003219493,-0.00090682745,-0.00255958,0.0015309281,2.3320354e-05,0.0015964279,0.0014466195,-1.329256,0.31693786,-0.5273156,-2.467263,0.00073091825,0.00013065554,0.0009034476,0.0004727209,0.0011980332,0.001711864,0.0031005002,-0.0007123881,0.268864,7.739297,1.05,5.45,2.875,1000,22000,0,129.99613033887,0,26.399890220724046,156.39602055959404,180.86085872072726,0
0.2768542,0.93377435,3.3158464,3.3158464,128.04346,1.3558389,-7.6843987,5.951893,5.3376417,87.74879,2.6336048,7.4120197,5.144381,78.796814,3.911711,-1.1303661,0.76561767,2.9022326,-6.189067,0.06618045,0.39446375,1.4738696,-2.0038102,-0.14815816,0.08958131,-0.08218133,-0.77349275,0.24494605,3.7861812,1.45,7.525,5.575,2000,32000,0,115.40063660498708,24.466628865338862,14.355140559375286,154.22240602970123,336.79253383819014,1
0.5033608,0.91200525,12.552896,12.552896,195.95648,15.621712,-14.870632,12.636872,23.475368,372.36893,4.4341097,13.219513,22.166306,384.06403,4.3834186,-0.9174788,1.1010447,5.9852877,-6.3370423,0.102174714,0.5424868,2.0530882,-1.7449695,-0.18473849,0.19743225,-0.021992013,-1.5023656,0.07844801,1.222207,1.05,7.525,7.3,3000,42000,0,130.3640372818336,26.17586301919073,15.181946546770632,171.72184684779495,512.1924794279039,2
0.28978115,0.800288,9.761468,9.761468,314.25787,22.844255,-23.320242,20.386265,31.394365,505.98767,4.9997973,24.100494,30.91679,518.99194,7.957548,-0.09022306,1.8590493,7.745688,-6.81501,0.1664967,0.953071,2.8031926,-3.145041,-0.24631971,0.21683119,0.092021495,-1.5259553,0.21697585,0.3139704,1.475,8.325,12.475,4000,52000,0,117.65455549396574,29.853912432678044,15.149846252053976,162.65831417869776,674.7542317174375,3
0.4508111,0.5565871,36.312943,36.312943,2142.0852,111.62487,-44.484863,42.05587,86.497734,587.87854,6.3845,43.939476,84.86902,668.6682,7.5377874,0.09269492,2.0825481,11.52726,-6.3782725,0.1267037,1.0323497,3.1290095,-3.8853397,-0.29178542,0.28830773,0.10225143,-1.366879,1.3962522,5.5380874,2.5,7.05,10.925,5000,62000,0,97.59784994740039,29.757497834973037,15.317244112491608,142.67259189486504,817.6529899053276,4
0.20025687,0.30615968,56.059826,56.059826,5037.202,77.71008,-72.806694,68.9529,157.02588,1638.215,5.3979297,75.28848,159.27394,1684.605,8.004688,0.7893818,2.4948733,15.585667,-7.915604,0.41467157,1.2522968,5.0590477,-4.8241396,-0.3785638,0.32573125,0.13862179,-2.0993886,1.1039605,2.9969983,4.35,9.25,8.35,6000,72000,0,98.70015487074852,29.983663860708475,15.367663470096886,144.05148220155388,961.8938601445407,5
0.7637756,0.077005595,87.743706,87.743706,6035.353,69.86114,-107.99972,97.3472,159.14337,1131.8677,5.7751794,107.78947,171.67365,1223.8569,7.1855125,1.258453,2.636518,10.654902,-7.4624014,0.56263936,1.3280467,4.1831408,-3.214773,-0.3924809,0.2634961,0.055454105,-1.4144015,0.9498661,2.5434723,2.95,9.975,7.45,7000,82000,0,98.74118895083666,30.17324724793434,15.473105453886092,144.3875416526571,1104.878821789287,6
0.7550861,0.1102082,89.77391,89.77391,5324.167,112.461426,-121.485344,110.24492,151.0881,933.2692,1.7541217,125.483826,168.44453,1088.2542,5.373548,1.4914587,2.583645,8.681658,-5.808765,0.56180125,1.4019077,3.2588778,-3.1444416,-0.43762198,0.28282094,0.0775898,-1.5776219,1.1655904,2.6839778,3.175,11.425,11.35,8000,92000,0,97.81628989521414,28.77072397619486,14.690585798583925,141.27759966999292,1246.0149169713259,7
0.68219167,0.078387976,99.27515,99.27515,5018.932,100.675186,-135.14758,122.87942,147.40585,780.82324,2.8889735,137.1538,159.01276,892.8912,4.5832725,2.1301692,2.6257057,8.355707,-7.0162144,0.28003758,1.659958,3.5063808,-3.1478987,-0.4867013,0.26472276,0.30530056,-1.7012954,0.68761504,1.3507867,4.025,14.475,15.325,9000,102000,0,98.37165060732514,28.629203946329653,14.779598320834339,141.78045287448913,1387.4781248737127,8
1.0139452,0.18120393,123.3174,123.3174,4909.2393,114.64963,-171.79341,155.75148,179.92572,1055.7748,3.382317,167.7558,188.0032,1123.0615,3.7446494,2.371048,2.5218322,10.607132,-5.90312,0.5081671,1.6581684,2.974343,-3.586472,-0.52118486,0.27028814,0.10388702,-1.990973,0.8288449,0.9671704,5.2,17.3,13.025,10000,112000,0,101.68118611071259,28.312229407019913,14.555103256367147,144.54851877409965,1530.6472418010235,9
0.69877136,0.06644304,125.13966,125.13966,4155.0674,145.47736,-145.20866,131.45328,145.81367,936.56384,3.4147806,139.2645,152.88876,994.7699,2.9802613,2.4378338,2.424856,9.613444,-8.654619,0.6339966,1.6062243,2.8908265,-3.309858,-0.51335317,0.20458971,0.11590887,-1.5976459,0.7284718,0.55963457,4.9,11.75,17.55,11000,122000,0,102.06890199705958,26.932748678140342,13.964543894864619,142.96619457006454,1674.4741993332282,10
0.8514627,0.064438365,129.72522,129.72522,6503.4717,133.92664,-154.62294,143.54355,162.3049,1043.9666,1.8516889,152.4654,168.47543,1073.644,1.7759235,2.3352647,2.551284,9.515003,-8.199083,0.16036038,1.7165024,3.0572398,-3.0690317,-0.504626,0.2312626,0.21701477,-1.7314626,0.8514555,0.56643337,5.55,17.625,17.65,12000,132000,0,111.25465514324605,27.793761840090156,13.903867701999843,152.95228468533605,1827.2082756021991,11
1.1541932,0.06404208,138.92023,138.92023,6902.9697,97.768906,-178.59975,165.54874,183.95244,902.72473,1.1870594,179.52353,191.76274,841.57416,4.099039,2.399201,2.5854914,10.761137,-8.419417,-0.008536667,1.7329966,3.1132555,-3.6897526,-0.53589237,0.26626456,0.3544069,-1.6687597,1.1422737,0.8014717,6.1,18.55,24.1,13000,142000,0,117.55335485097021,27.57554746698588,13.626964925788343,158.75586724374443,1985.780940941535,12
1.0399574,0.032645963,125.72029,125.72029,4555.4434,93.09561,-141.2857,130.09476,138.69046,740.1878,1.6771148,142.67368,143.76584,769.8494,2.2964103,2.5450182,2.6035058,10.898042,-7.541174,0.14500158,1.7767159,3.720882,-3.6845653,-0.5072967,0.24589266,0.18848576,-1.7302998,0.6461719,0.31209236,6.725,24.675,17.05,14000,152000,0,101.79556270409375,27.392593680880964,13.90344244427979,143.0915988292545,2128.603529335931,13
0.5785058,0.0469115,137.2088,137.2088,7544.5835,89.73027,-197.6655,185.74957,163.65681,721.2609,5.7809486,195.86407,169.40787,720.8374,6.0239596,2.6369667,2.4781892,8.735467,-7.7458878,0.06641281,1.7694789,3.4304204,-3.2614892,-0.62261415,0.26993808,0.26014912,-1.7625104,0.8103983,0.5946018,4.475,17.575,16.05,15000,162000,0,103.51202540844679,27.123615307733417,13.914159394800663,144.54980011098087,2272.2039731945843,14
0.9707777,0.059900858,145.36835,145.36835,5064.952,200.39754,-182.1328,171.47726,162.39369,823.7734,-5.6411204,189.74654,167.14949,793.3035,1.836669,2.635591,2.5937023,9.4867525,-6.349246,0.172143,1.7701132,3.4786887,-3.4762614,-0.5919248,0.2656807,0.19740391,-1.6863979,0.8355711,0.67821527,3.475,14.1,17.05,16000,172000,0,108.21443337295204,26.174493316560984,13.922001441009343,148.31092813052237,2421.4648010274395,15
0.9652975,0.05647854,144.06499,144.06499,6192.4805,85.53511,-180.93704,172.22153,159.36234,734.35846,1.566857,181.97769,160.37491,710.02466,2.1245992,2.8037567,2.4385521,12.340914,-6.2810946,-0.14641765,1.8064902,5.1775775,-3.9773614,-0.62465894,0.28447276,0.19964175,-1.8477778,0.9236536,0.65865237,5.25,14.6,19.35,17000,182000,0,118.43661558628082,27.124263606965542,13.737568259239197,159.29844745248556,2581.7614280330017,16
0.93785894,0.09158761,151.08942,151.08942,4165.01,65.53453,-150.84184,143.06223,153.67738,685.333,-3.0823965,153.90233,159.03595,674.9878,2.0649602,1.9991128,2.5201948,10.355816,-6.4277067,0.36700886,1.569524,3.9163883,-3.399763,-0.5659671,0.34247658,0.20628518,-1.9360088,0.6713761,0.46855038,5.525,17.575,20.55,18000,192000,0,99.03585249464959,28.122873812913895,14.088568647392094,141.24729495495558,2723.3445980278775,17
