Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0055609024,0.0027017333,61.458153,61.458153,263.84555,28.868458,5.306334,-0.002806234,9.2521565e-05,-0.0025168473,-0.0030657295,-0.006625586,0.00016412129,-0.0062004756,-0.007016222,5.1924763,0.97535944,6.1722574,-0.9315448,-0.0002460415,0.0015978889,0.0016000548,-0.0023335272,-4.0053973,0.0046771998,-3.999898,-4.0108423,0.3430721,0.57059366,-16.778034752430926,-33.8250301737591,-31.67042645336312,100,13000,0,89.38585473969579,0,160.76123457960784,250.14708931930363,368.89554533176124,0
0.34556276,0.44894737,4.7091284,4.7091284,17.111374,2.0039666,10.314549,-11.5186205,0.4312145,-10.552408,-12.064783,-8.914011,0.31009886,-8.483404,-9.24582,-1.3160484,0.31851,-0.59668756,-3.774839,-0.025119718,0.15855153,0.1385923,-0.18685931,-0.21889205,0.040057577,-0.14986038,-0.26850128,0.27289802,0.3693455,-14.372555531206022,-28.704815770233758,-29.226617119840974,200,18000,0,99.26527987420559,118.75019307248294,64.49442859366536,282.5099015403539,653.1856756657362,1
0.27663448,0.29208493,8.11689,8.11689,72.31602,0.30296668,10.3851595,-11.57369,0.28958252,-10.2428875,-12.174896,-9.866349,0.21194094,-9.457054,-10.138994,-1.2482888,0.4942602,-0.093031645,-3.4635618,-0.08520751,0.2833071,0.19944274,-0.3705444,-0.14976434,0.00964291,-0.13581848,-0.1670065,0.21908763,0.7904847,-13.908020174740136,-29.32722364012763,-29.324100943661943,300,23000,0,89.73238011263311,120.5314852874726,63.70012845098972,273.96399385109544,924.5341027956456,2
0.2190351,0.6182959,2.1908607,2.1908607,22.143375,0.55324477,14.423249,-15.846347,0.7858526,-13.771766,-16.824203,-15.098364,0.78435063,-13.8408165,-15.974323,-1.2455668,0.53375787,-0.16439307,-3.2843103,-0.1947414,0.25708923,0.06339767,-0.45481744,-0.1569581,0.03948817,-0.11026001,-0.20627403,0.25117308,1.0190994,-15.741439954614822,-28.102325933218857,-28.373963274969753,400,28000,0,102.7127022370696,117.91476814448833,64.4922973588109,285.11976774036884,1209.9312295392156,3
0.24994998,0.7944118,2.132216,2.132216,21.58935,0.41963387,16.916351,-18.473475,0.6489803,-16.78334,-20.692766,-16.530504,0.85691553,-14.699663,-17.888939,-1.1056818,0.680655,0.19115365,-4.3030686,-0.27969557,0.33336827,0.059051562,-0.62175524,-0.138733,0.057173274,-0.06662941,-0.2084837,0.31282634,0.64486235,-14.967225187721965,-28.92022631725097,-27.80064825134371,500,33000,0,90.73281151615083,118.19273439608514,63.2635526265949,272.1890985388309,1483.088809689507,4
0.3134094,0.5009347,4.296424,4.296424,35.725525,5.0120997,16.915964,-18.432636,4.2479625,-11.73896,-26.609539,-16.631124,2.2165902,-12.667629,-19.838232,-1.1319064,0.64252305,-0.20170403,-4.3777184,-0.27587944,0.2912429,0.016321559,-0.5677124,-0.21754512,0.033820733,-0.17905045,-0.25562096,0.26931357,0.6182612,-14.4252221508546,-29.071661037986,-26.852446790958197,600,38000,0,92.45208309590816,119.16168631799519,63.68898594751954,275.3027553614229,1757.9169902913272,5
0.27001244,0.48422408,4.062049,4.062049,26.872713,2.0740023,20.547487,-21.77425,4.405661,-14.543003,-36.86979,-19.640879,4.6061673,-11.998463,-34.254776,-1.2407148,0.50325567,-0.351856,-4.214185,-0.2233561,0.19476184,-0.026457984,-0.41991198,-0.15940854,0.027114667,-0.12700844,-0.18997765,0.45650735,0.92482173,-15.052245105434741,-31.26405026876795,-30.278608405251227,700,43000,0,98.05656722187996,118.68641257658601,63.044202603399754,279.7871824018657,2039.3391786664724,6
0.45884696,0.724831,3.6271257,3.6271257,15.597103,2.2517965,23.935114,-25.352173,7.0594,-15.028362,-37.985504,-25.065655,7.4180555,-13.155392,-38.268196,-1.2953749,0.36405733,-0.52737737,-3.167812,-0.14622535,0.13167152,-0.011024114,-0.2803194,-0.12542787,0.020101901,-0.097356796,-0.15573978,0.9375962,1.0001485,-13.409251321262744,-29.452414521831308,-31.616921900510505,800,48000,0,106.16547880135477,120.3237041439861,61.514127703383565,288.00331064872444,2324.46691615507,7
0.93486726,0.77921027,13.380094,13.380094,18.691486,2.9244652,19.880165,-21.996061,5.4704337,-15.071816,-41.736515,-21.278385,6.3898873,-12.266957,-43.831207,-1.2926401,0.45072034,-0.022804499,-2.9444194,-0.19229285,0.11989191,-0.07122499,-0.31428182,-0.052699298,0.015457438,-0.028463364,-0.07982254,0.1740355,0.6870538,-15.391340201159148,-30.84089561541081,-30.50950832903188,900,53000,0,95.57291660830379,117.44363340176642,63.251800233498216,276.2683502435684,2600.9760522488505,8
0.17213318,0.5303134,2.469355,2.469355,19.300493,5.4303126,34.820683,-35.815083,10.483732,-16.774073,-54.307697,-32.892662,10.183038,-12.339966,-51.3673,-1.2975601,0.3930273,-0.3008449,-3.1978173,-0.078982934,0.20025703,0.12605354,-0.28137982,-0.14236224,0.011507663,-0.11983681,-0.15824318,0.08945648,1.1561646,-14.737333891351806,-31.45729442482003,-29.930923515472777,1000,58000,0,94.40694628283381,117.68479197844863,62.765447901561856,274.8571861628443,2876.8890289049596,9
