Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.3732744,0.78874004,2.3921912,2.3921912,21.441593,0.8392949,36.756382,-38.568733,15.300053,-16.401764,-80.886955,-37.196026,15.168881,-15.418802,-77.021965,-1.2470767,0.5229031,-0.185251,-3.6356893,-0.25040776,0.1994145,-0.048183218,-0.45531398,-0.16064166,0.028997345,-0.11541176,-0.1954279,0.10003698,1.003396,-13.775855291625415,-28.181615479664657,-28.168758551460066,1200,68000,0,96.20290318317711,116.5940120369196,61.94633546285331,274.74325068295,3364.0962374843657,11
0.09992274,0.7852789,0.50384974,0.50384974,23.38752,3.7348435,37.85197,-38.147957,12.933244,-16.313091,-83.560715,-36.84005,11.897658,-16.868505,-78.58229,-1.1001596,0.69155174,0.17737424,-4.8211093,-0.38693157,0.18784165,-0.19535875,-0.58062506,-0.2209078,0.05664922,-0.14407825,-0.30108356,0.10918435,0.85366666,-14.788715683978605,-29.199245923361907,-29.59975489785644,1300,73000,0,93.97179654054344,108.5514822974801,59.650926331058145,262.1742051690817,3637.5227915756404,12
0.10985266,0.6700968,1.0752714,1.0752714,31.547031,5.6765475,38.820354,-39.52062,15.607649,-17.82108,-90.551285,-36.719666,15.206521,-14.727743,-84.24414,-1.1634382,0.5601202,-0.18812513,-4.2304263,-0.24516657,0.26270378,0.018671058,-0.5093966,-0.17677796,0.060000446,-0.097304344,-0.25101948,0.13863716,1.1745833,-14.0371892110897,-28.447563268545444,-28.14441571939191,1400,78000,0,92.97345723770559,119.8042611926794,61.8153671734035,274.5930856037885,3915.304596355185,13
0.13895626,0.92080116,0.33095732,0.33095732,27.506607,1.9606339,42.194046,-42.768562,18.130852,-18.550602,-97.047775,-41.81615,17.489895,-18.955473,-92.89491,-1.1182473,0.6538304,-0.005916834,-3.7444808,-0.34629425,0.24293907,-0.10072193,-0.59350157,-0.22730568,0.061893675,-0.15449333,-0.29877663,0.16951738,1.1137445,-14.430375249230513,-28.741157898540347,-28.64166018420134,1500,83000,0,104.00388783216476,122.99252632632852,61.47159579209983,288.4680099505931,4200.833961073309,14
0.17012863,0.87375605,0.5630998,0.5630998,34.039345,4.24525,44.395866,-45.627266,20.144596,-18.025082,-102.59096,-43.74743,18.985197,-18.068916,-97.10041,-1.168117,0.58360195,-0.1934427,-4.3578773,-0.28133687,0.22003484,-0.05799909,-0.51152974,-0.2376658,0.06524762,-0.14286995,-0.34377384,0.09050242,1.2778876,-14.340941423853838,-28.33515350755735,-27.567364205456762,1600,88000,0,105.93499670736492,120.05397733859718,61.336079847067595,287.3250538930297,4488.111234145239,15
0.090168186,0.9954141,0.15661353,0.15661353,31.57581,4.2413898,44.682224,-45.840076,18.814747,-21.1026,-109.38246,-45.027046,18.199583,-21.000443,-105.79318,-0.9223169,0.9157372,0.83400416,-4.310643,-0.5362946,0.21779159,-0.31653294,-0.7602388,-0.17565829,0.10114462,-0.06417847,-0.28274918,0.05238027,1.2113762,-13.938523712594895,-27.68158773435419,-27.52570534209991,1700,93000,0,95.21016053669155,120.0064314827323,60.760832821950316,275.97742484137416,4765.037969304249,16
0.052580416,0.9473046,0.080050215,0.080050215,29.370304,6.9112215,49.42778,-51.049377,18.393267,-24.857443,-113.96364,-50.347496,17.309795,-25.852192,-111.476204,-0.80297756,0.839289,0.6488602,-4.4525876,-0.5109315,0.30656725,-0.19928256,-0.830952,-0.278392,0.123228505,-0.109375,-0.43559647,0.1276648,1.1834003,-13.281605220351688,-28.209484681781056,-27.899035210875063,1800,98000,0,104.74053958617151,120.9561203699559,61.7055551558733,287.4022151120007,5052.67765528895,17
0.12803312,0.92672527,0.26916733,0.26916733,33.41504,8.621538,50.441486,-51.9469,20.063896,-24.525646,-118.506775,-51.043877,20.13852,-24.224676,-117.293304,-1.0794075,0.6527415,0.07226896,-4.7590303,-0.3112615,0.2761266,-0.029419368,-0.59613204,-0.19070938,0.08625063,-0.07025051,-0.30633163,0.12618156,1.2309717,-14.401748747007167,-28.089868972943595,-28.09155402242892,1900,103000,0,96.23737669549882,121.19457972235978,61.337462075054646,278.76941849291325,5333.041593115777,18
0.12657674,0.9614002,0.24062015,0.24062015,27.97259,6.8549056,55.027336,-55.93157,22.977776,-27.887142,-125.48805,-54.734444,22.57413,-27.638735,-122.03259,-0.87549174,0.7955174,0.2937941,-4.1840024,-0.47347006,0.29479742,-0.17542462,-0.7774318,-0.32095844,0.061195046,-0.23809242,-0.3899231,0.019654747,1.2624509,-14.17000437164783,-28.491456900286586,-28.03638804633788,2000,108000,0,98.47025806643069,122.78901279531419,62.161767492070794,283.4210383538157,5614.687152164057,19
0.019535184,0.9837494,0.007831801,0.007831801,20.183708,7.368553,58.20725,-59.421867,25.810669,-28.737963,-130.64792,-58.01831,25.48546,-28.888866,-128.29105,-0.93714964,0.7883179,0.2696452,-7.4203415,-0.44587097,0.2306869,-0.21081698,-0.68660396,-0.3125741,0.104942515,-0.17551804,-0.4559269,0.44667125,1.1871922,-15.224306347227046,-28.034254110544992,-27.512996233650334,2100,113000,0,108.2044967841357,121.0139425508678,61.69893326237798,290.9173725973815,5902.998959202319,20
