Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.005162348,0.0027054618,61.440598,61.440598,354.2834,28.356276,5.2487516,0.001605713,0.00010768315,0.0019248729,0.0013039317,0.0028846697,0.000130244,0.0033117756,0.0025041848,5.1527405,0.97144324,6.144753,-2.4449172,-0.0042646965,0.00029265924,-0.0036674987,-0.0048219822,-3.9916332,0.012754962,-3.9781942,-4.0048447,0.11931833,0.3888442,-20.49892455849062,-36.073940085174385,-40.051873278982015,100,13000,0,87.43194517120719,0,161.5520894844085,248.9840346556157,375.40603233873844,0
0.120207354,0.30610445,6.3994465,6.3994465,16.080605,1.723491,10.022868,-11.248611,0.22703235,-10.791019,-11.45694,-8.82547,0.30963826,-8.25132,-9.125629,-1.2380763,0.5946943,0.843719,-2.321128,0.15424821,0.09870224,0.26784933,0.051199473,0.10534229,0.06980708,0.22842884,0.011030197,0.56170374,0.91575176,-19.72940901494375,-44.409100498177196,-32.75891366876924,200,18000,0,85.39521699771285,126.42455950193107,61.75030393898487,273.5700804386288,648.5989759750664,1
0.56180775,0.7155354,5.6753125,5.6753125,59.114197,2.5039487,13.373817,-15.128973,0.4847622,-14.775908,-16.102512,-14.940056,0.4793102,-14.427713,-15.883236,-1.3706976,0.20151803,-0.7935085,-3.3083158,-0.043325122,0.0042987866,-0.035968196,-0.049433626,-0.10235293,0.010230087,-0.088246346,-0.11779404,0.38166544,0.6694182,-18.958422409495938,-44.11499182985683,-39.98214280219135,300,23000,0,87.90666593238711,126.04694481939077,64.80560646392405,278.75921721570194,923.5521796196699,2
0.38209587,0.5236834,4.8777094,4.8777094,16.051054,1.7234858,12.387481,-13.547953,6.755463,-6.81227,-24.52695,-11.379855,6.7837086,-4.182507,-22.578392,-1.3571193,0.18486804,-0.787421,-2.834363,-0.016648244,0.060298923,0.0461767,-0.07911499,-0.14018916,0.030191729,-0.08697796,-0.18235397,0.6002089,0.93768835,-19.536930809736923,-37.61583462551208,-45.69843400350844,400,28000,0,88.37057190388441,122.24074874073267,65.07023156620562,275.6815522108227,1194.6880082208663,3
0.5997763,0.7320725,8.754385,8.754385,12.960766,1.4830602,21.566412,-23.086887,5.607108,-8.2354355,-28.198383,-20.543365,5.422895,-6.3563676,-25.961027,-1.3443662,0.2148619,-0.7241391,-3.2746515,-0.021067047,0.06106939,0.043292075,-0.08784871,-0.097631276,0.018625578,-0.07040882,-0.12457085,0.29724127,1.0533718,-19.043065401948812,-37.72995230866374,-35.85347238245187,500,33000,0,89.7356499992311,117.69530709274113,65.48679877258837,272.9177558645606,1464.9888606946915,4
0.29608843,0.8195688,3.6215043,3.6215043,22.048168,6.487793,17.818691,-19.817316,8.483556,-9.278311,-33.22978,-20.188803,9.189885,-8.3054285,-35.173363,-1.3659152,0.18806039,-0.83775985,-3.1130495,0.0013297586,0.051009703,0.053867605,-0.05175282,-0.11913451,0.0066596577,-0.10434723,-0.12853718,0.26341715,1.1188365,-19.279087461609443,-39.823526172679095,-38.31849009926864,600,38000,0,91.20313572697341,115.07942130789161,65.07238999195397,271.354947026819,1736.888619074598,5
0.2640136,0.87710035,1.5036135,1.5036135,19.573816,0.7415849,25.678991,-26.868048,7.4148455,-11.818285,-40.540646,-26.273335,7.674923,-10.445205,-41.56968,-1.351273,0.22044216,-0.7618078,-3.2122684,-0.03516547,0.09127345,0.060283348,-0.12906525,-0.16442373,0.016563319,-0.1316042,-0.18773842,0.31863445,1.2493767,-19.450109821535,-39.34674784891505,-44.9132701480744,700,43000,0,90.50355193018913,115.62337229959667,64.81139004044235,270.93831427022815,2010.1641163248569,6
0.31849468,0.975661,2.4678395,2.4678395,14.226754,1.1319689,31.31246,-32.726616,6.8100476,-13.152011,-47.421814,-32.32273,6.756092,-12.653358,-46.980476,-1.3675346,0.18159528,-0.93760765,-3.7890792,-0.02019303,0.0066467063,-0.010098378,-0.02801225,-0.11778486,0.01108082,-0.09554291,-0.1333065,0.062393147,1.030296,-16.383215267875464,-33.373947014396585,-32.623745807499844,800,48000,0,93.98368369415402,117.96115830168128,64.15636417642236,276.10120617225766,2284.5882960297167,7
0.062413346,0.8036949,0.34622264,0.34622264,21.098412,0.40659663,28.073923,-29.304714,10.976489,-16.723347,-54.520836,-28.366528,11.604792,-14.77873,-54.45323,-1.3596075,0.24733932,-0.7711731,-3.4697351,0.045202836,0.09423504,0.14246589,-0.053257998,-0.17333253,0.015161768,-0.14126205,-0.192667,0.07963003,0.7630286,-16.216866701654066,-31.347793041679136,-33.117164209046045,900,53000,0,92.79305548593402,116.28668372519314,64.67809025011957,273.75782946124673,2557.0794213041663,8
0.07970798,0.5965212,1.5615857,1.5615857,17.285097,5.243319,32.874813,-33.68331,10.060042,-17.29415,-54.82225,-33.916405,11.2511015,-15.420755,-59.381943,-1.3153889,0.3791023,-0.29996073,-3.2428007,-0.03544382,0.20577168,0.1754817,-0.24264243,-0.13760325,0.01769895,-0.10257721,-0.15821457,0.19551079,0.9905117,-17.98009196002257,-40.55168339225948,-36.426116715403836,1000,58000,0,91.3617659136653,115.01915487833321,66.66401343233883,273.04493422433734,2829.541878581047,9
0.19561131,0.77392596,0.994967,0.994967,32.096954,1.5663165,38.07172,-39.63949,13.830126,-15.2752285,-70.34665,-37.96942,12.674948,-15.543476,-66.698456,-1.3628271,0.16885543,-0.8968121,-3.0875328,-0.00029769362,0.057642043,0.06173603,-0.05933386,-0.16061182,0.012985013,-0.14121819,-0.18338585,0.18884632,1.0646864,-14.365844726035032,-28.966803375240907,-28.68298148880521,1100,63000,0,93.74248034507036,114.43590568937361,65.5746130105108,273.7529990449548,3109.442182637751,10
0.18814781,0.82909316,0.85175735,0.85175735,28.498676,1.910986,38.95049,-40.580475,16.29887,-15.752497,-73.35489,-40.026714,16.68247,-14.943861,-72.42935,-1.30283,0.36425894,-0.32854986,-3.0782936,0.06362957,0.18298705,0.25611797,-0.12149142,-0.120777845,0.021044474,-0.08619213,-0.15489578,0.30016807,1.0661018,-17.142962440890862,-30.36084515234861,-31.62205204383607,1200,68000,0,91.35218000598252,120.58380966447294,65.36830279789865,277.3042924683541,3386.631356805563,11
