VF Loss,V Predictions Min,Number of env steps total,Number of train steps total,QF Loss,Epoch Time (s),Log Pis Mean,Sample Time (s),Total Train Time (s),Policy Loss,Q Predictions Mean,AverageTrainReturn_all_train_tasks,V Predictions Std,Log Pis Min,Log Pis Max,Q Predictions Std,KL Divergence,V Predictions Max,Policy log std Std,Q Predictions Min,Z mean train,Policy mu Max,Policy log std Min,Epoch,Log Pis Std,V Predictions Mean,Z variance train,Policy mu Mean,Z mean eval,Q Predictions Max,(Previous) Eval Time (s),AverageReturn_all_train_tasks,Policy log std Mean,Policy mu Min,Train Time (s),Z variance eval,Policy mu Std,Policy log std Max,Number of rollouts total,AverageReturn_all_test_tasks,KL Loss
14.022,-1071.41,126000,11000,541.558,118.40208551700016,1.13119,12.008616958000403,1331.8163335930055,668.128,-684.321,1.85755115294,203.988,-7.16816,5.99044,206.235,155.74009704589844,-170.069,0.168657,-1136.74,0.609441,2.54516,-1.68826,10,1.75218,-667.875,0.0252639,0.358,0.690979,-172.37,3.6512126279999393,0.854248391077,-0.597685,-2.75908,102.74225593099982,1.59266,1.27764,0.150595,0,0.255006185714,155.74009704589844
106.165,-1071.67,136000,12000,446.058,118.17222448800158,1.76266,11.982033971001329,1449.9877615100065,466.984,-487.446,1.44333050347,263.803,-6.60028,7.09559,264.475,236.64193725585938,-104.367,0.295851,-1051.72,1.13593,2.95313,-1.91768,11,1.89662,-475.739,0.00582942,0.803359,1.50341,-105.809,3.497116527000344,1.30881337408,-0.772969,-2.40184,102.6930739899999,2.73537,1.24687,-0.193378,0,0.225997228506,236.64193725585938
87.3508,-1040.59,146000,13000,573.282,118.32215283600044,1.30725,11.98774014000037,1568.3099647260076,619.685,-636.675,0.295776319477,231.549,-7.1062,6.6622,234.756,186.1304931640625,-110.965,0.266797,-1059.07,1.09823,3.00267,-1.98215,12,1.83289,-628.359,0.00787169,0.515199,1.38177,-102.932,3.49662865099981,0.571085094227,-0.654671,-2.60478,102.83778404500026,2.70309,1.27427,-0.0422585,0,0.0800386850777,186.1304931640625
66.4166,-1035.29,156000,14000,344.062,118.15004878499849,2.05022,12.001066478998837,1686.4581248500065,533.162,-550.735,3.32727656398,233.087,-6.16088,7.67988,241.398,203.408203125,-114.765,0.204441,-1038.51,0.514927,3.13477,-1.73302,13,2.05713,-535.944,0.0320602,0.714833,1.34456,-104.03,3.4968815229999564,0.510255181239,-0.671985,-2.60352,102.6521007829997,2.36706,1.4143,0.0388545,0,0.0,203.408203125
22.1405,-1130.31,166000,15000,410.535,120.29518924200056,1.71901,12.00512175600079,1806.7996783030073,662.231,-682.198,4.54101146194,258.572,-7.35668,8.79358,254.102,197.31182861328125,-117.821,0.188194,-1193.66,1.03346,2.96896,-1.81972,14,2.30108,-663.426,0.00429471,0.445728,2.00191,-119.161,3.495206983999651,1.61150761213,-0.603125,-3.21958,104.79486050200012,2.84214,1.4668,0.0548837,0,1.11764679351,197.31182861328125
103.685,-1022.53,176000,16000,417.117,120.67486894400008,1.59738,12.014246002999698,1927.4444790820078,637.144,-652.816,4.01824336101,220.572,-5.89639,7.98396,213.008,176.2862548828125,-83.4885,0.195014,-1032.85,1.13347,2.80563,-1.79139,15,2.09608,-645.142,0.00362197,0.229837,0.769495,-87.9645,3.541825651000181,1.08107817126,-0.596875,-2.59156,105.1187972900002,0.152524,1.45555,-0.0220369,0,0.628366459629,176.2862548828125
33.3486,-1084.77,186000,17000,839.262,120.33425532199999,1.65863,12.008337153999946,2047.7752312970076,556.768,-564.624,2.11032162131,219.359,-6.99985,7.48668,221.52,197.2703399658203,-237.42,0.150382,-1155.37,0.27857,2.75458,-1.21756,16,2.04393,-552.934,0.023285,0.511892,0.797274,-239.307,3.5124082249999447,0.487263375733,-0.661006,-2.52095,104.8135099430001,0.170614,1.38261,-0.148724,0,0.635315555009,197.2703399658203
27.6311,-1126.94,196000,18000,507.053,120.37991417100102,1.81086,11.99526989900096,2168.1536951870085,673.588,-687.51,2.23678035899,249.252,-7.05982,6.97441,246.934,195.39730834960938,-159.777,0.115889,-1185.86,0.20463,2.6572,-1.01835,17,2.03109,-673.638,0.0122568,0.0432895,0.499884,-163.222,3.5088896190000014,0.0,-0.599114,-2.42341,104.87575465300006,0.0363877,1.52771,0.108424,0,0.809895504419,195.39730834960938
93.2425,-1020.49,206000,19000,304.591,120.21873538800128,2.11513,12.002814451001086,2288.379247371009,504.242,-518.946,3.42902599332,234.257,-6.78283,7.58731,240.214,223.51568603515625,-89.8953,0.182551,-1082.84,0.967138,2.85098,-1.32448,18,2.12553,-496.215,0.00356803,0.795803,2.10079,-91.8359,3.5078070200002003,0.976546579967,-0.674914,-2.70263,104.70811391699999,2.47732,1.37561,-0.10687,0,0.905617065977,223.51568603515625
43.2543,-1365.15,216000,20000,524.377,120.12570373900098,1.78023,12.021066685001188,2408.4859183460103,633.387,-647.984,3.89017812003,270.216,-6.13177,8.81986,274.501,205.34024047851562,-131.688,0.218582,-1502.83,0.679952,2.66558,-1.26769,19,2.24434,-629.026,0.00877499,0.448367,1.01828,-135.113,3.514786906000154,0.915378438447,-0.623317,-2.99372,104.58985014799964,1.27095,1.44272,0.0399243,0,0.342499259442,205.34024047851562
66.0142,-1111.31,226000,21000,856.219,120.12066977099948,2.05408,12.0134303549994,2528.6225926850093,546.928,-561.82,7.56744046934,294.486,-5.62204,8.84601,304.437,230.77935791015625,-155.496,0.231147,-1270.47,1.06104,2.73472,-1.38558,20,2.20335,-546.35,0.0168513,0.729001,0.659148,-149.366,3.4960917600001267,1.00699426228,-0.730632,-2.88609,104.61114765599996,0.0432933,1.39287,-0.00793642,0,0.997361344275,230.77935791015625
107.082,-1067.92,236000,22000,519.379,120.34015036200253,2.13352,12.02488991300288,2648.957850728013,602.251,-618.282,5.74914742869,225.616,-8.11426,7.49146,231.322,202.22085571289062,-112.106,0.213001,-1116.28,0.833872,2.89115,-1.45093,21,2.15882,-609.699,0.0241067,0.60615,0.784425,-103.031,3.512315313999352,0.703186919459,-0.679133,-2.61733,104.8029451350003,0.0484941,1.50049,-0.0098424,0,2.23934357308,202.22085571289062
155.441,-973.453,246000,23000,598.322,120.36921596000047,2.38909,12.028873492000457,2769.3302648140134,495.081,-507.548,6.47048653988,263.964,-6.50962,7.74341,272.72,223.59642028808594,-76.7953,0.190341,-1041.0,0.474199,2.8118,-1.50194,22,2.23005,-487.308,0.0204048,0.445875,2.97407,-75.4896,3.507671160999962,1.24329229984,-0.720901,-2.90103,104.83267130700006,2.50488,1.58898,-0.164252,0,0.914707778818,223.59642028808594
110.706,-1101.5,256000,24000,404.541,120.32131835700056,2.48477,12.040165159000935,2889.654165128015,586.399,-607.849,5.30121603042,253.358,-4.87902,7.78318,253.599,188.27877807617188,-77.8918,0.193967,-1137.63,0.524614,2.81994,-1.5666,23,2.12205,-592.01,0.0183814,0.605318,2.82584,-75.772,3.5111639399992782,0.611341519259,-0.644846,-2.6638,104.76998925800035,2.54052,1.58471,-0.0483118,0,1.20428221544,188.27877807617188
102.871,-1121.08,266000,25000,263.442,120.270723568,2.50877,12.054950204000306,3009.914660840014,480.773,-500.363,3.25337702622,254.431,-7.90487,7.30323,257.039,239.1697540283203,-82.5061,0.19706,-1144.49,0.922559,2.78619,-1.53153,24,2.17843,-475.855,0.00833396,0.627894,0.253103,-83.0005,3.514070972999434,0.573319411643,-0.696523,-2.70052,104.70170239100025,0.286743,1.58559,-0.149923,0,1.20101404557,239.1697540283203
233.86,-967.79,276000,26000,272.367,120.06314944400128,2.68871,12.041133130001072,3129.978471766016,321.131,-342.809,5.83663417448,191.339,-6.88774,7.40653,202.152,271.241943359375,-68.426,0.203856,-977.883,0.90845,2.92155,-1.59628,25,2.1658,-335.212,0.0214467,0.740226,0.619421,-49.3344,3.5041428630001974,0.865164740719,-0.771541,-2.64003,104.51787345100001,0.0468747,1.57222,-0.180555,0,0.630310154194,271.241943359375
383.315,-1076.13,286000,27000,489.351,120.31457064799815,2.75649,12.026658574998692,3250.2922547000153,451.288,-478.51,4.91688743767,261.574,-6.90737,8.11767,264.064,244.41416931152344,-84.1032,0.186579,-1160.6,1.60051,3.00204,-1.52827,26,2.26235,-469.587,0.0280744,0.255128,1.02501,-73.1757,3.50511216599989,0.182859552529,-0.705471,-2.85264,104.78279990699957,1.08478,1.75353,-0.00266324,0,0.698042913644,244.41416931152344
