Policy log std Mean,(Previous) Eval Time (s),Policy log std Max,Epoch,Q Predictions Max,Number of env steps total,Log Pis Max,Log Pis Min,QF Loss,Policy Loss,AverageTrainReturn_all_train_tasks,Policy mu Min,Train Time (s),VF Loss,Q Predictions Mean,V Predictions Mean,Policy log std Std,Log Pis Std,Z mean train,Policy log std Min,Total Train Time (s),AverageReturn_all_train_tasks,Log Pis Mean,Policy mu Std,V Predictions Std,KL Divergence,Policy mu Max,V Predictions Min,Z mean eval,KL Loss,Number of rollouts total,AverageReturn_all_test_tasks,Epoch Time (s),V Predictions Max,Q Predictions Std,Number of train steps total,Z variance train,Sample Time (s),Q Predictions Min,Policy mu Mean,Z variance eval
-0.677179,3.5145055999996657,-0.115462,10,-316.952,126000,6.3997,-7.33242,547.104,666.656,0.907743099035,-2.52758,104.7841997759997,11.1034,-678.209,-667.556,0.1936,1.55854,0.578689,-1.23712,1329.1275090249965,0.368991930507,0.844349,1.02618,117.345,164.2696990966797,2.72611,-1021.28,1.21988,164.2696990966797,0,0.0,120.40140276699776,-316.761,121.442,11000,0.0147384,12.1026973909984,-1105.66,0.626436,1.41072
-0.720651,3.5064045160002024,-0.303706,11,-210.628,136000,5.88261,-5.47418,530.683,593.51,0.706183997816,-2.08178,104.72003315099983,22.9374,-607.633,-597.434,0.222499,1.54112,0.72159,-1.71143,1449.4500526189977,1.45987854568,1.13964,0.951953,164.988,195.88954162597656,2.60344,-1035.73,1.21273,195.88954162597656,0,0.503368554161,120.31883458100174,-205.964,169.807,12000,0.00502964,12.09239691400171,-1034.08,0.85026,1.29921
-0.711483,3.5103292929998133,-0.129931,12,-309.893,146000,5.88574,-6.53439,1553.39,710.126,1.26100027064,-2.80064,105.48115264099988,353.429,-727.338,-692.279,0.266823,1.67737,0.511891,-1.82432,1570.6157131959985,0.0,1.5158,1.23178,188.69,177.24615478515625,2.76964,-1327.14,1.4275,177.24615478515625,0,0.0,121.07329535700046,-301.188,203.008,13000,0.00577712,12.081813423000767,-1458.45,0.657763,2.07917
-0.649056,3.6030427830000917,0.0175032,13,-200.57,156000,6.57481,-6.55239,794.653,632.609,0.584049876886,-2.62935,104.18694617899973,38.1831,-651.225,-637.755,0.196118,1.51969,0.294682,-1.61077,1690.8265851459983,0.61707711885,1.42306,1.14662,204.531,200.59535217285156,2.85764,-1154.28,0.431371,200.59535217285156,0,0.106360085873,120.19493968999905,-204.529,207.797,14000,0.0141335,12.404950727999221,-1199.56,0.79122,0.694472
-0.626884,3.6191682889998447,-0.135658,14,-309.431,166000,5.90685,-5.58897,1225.88,728.008,2.08761368778,-2.98571,104.31027010799971,55.6241,-744.044,-721.573,0.197331,1.58657,0.690336,-1.62506,1811.134436862998,1.91806676685,1.16822,1.22269,174.309,177.46261596679688,2.64525,-1383.06,0.531327,177.46261596679688,0,0.15093766885,120.32843693799941,-311.576,184.716,15000,0.000832074,12.398998540999855,-1486.75,0.510484,0.758867
-0.664691,3.598794067000199,-0.236768,15,-247.162,176000,5.9866,-8.28025,972.875,587.455,2.13929842087,-2.6185,104.47677950600018,48.2375,-597.601,-593.242,0.183023,1.59176,0.839829,-1.72855,1931.5876403469993,0.297294444164,1.14819,1.13293,153.514,199.68960571289062,2.60056,-1016.88,0.494176,199.68960571289062,0,0.346477236902,120.47971778300098,-254.297,154.076,16000,0.000674826,12.404144210000595,-1072.81,0.629683,0.281146
-0.711326,3.5725746220000474,-0.256663,16,-221.453,186000,6.47306,-6.22579,756.554,572.234,0.968067586277,-2.67011,103.54336843600049,21.6224,-583.545,-571.747,0.20578,1.682,0.394328,-1.65615,2051.20819158,1.11505755634,1.04951,1.14679,201.168,219.24099731445312,2.7799,-1064.15,0.66445,219.24099731445312,0,0.32490622878,119.53187415600087,-221.431,204.26,17000,0.0141525,12.415931098000328,-1111.62,0.507238,0.736448
-0.639877,3.6615034930000547,-0.143608,17,-134.742,196000,10.8074,-7.93982,776.106,660.391,0.860829075657,-3.61037,103.25442066699998,65.6406,-669.769,-658.227,0.228722,2.03593,0.289236,-1.60338,2170.5938217389976,0.564717174446,1.08927,1.282,220.448,203.2633514404297,3.04084,-1214.69,1.05876,203.2633514404297,0,0.22723414714,119.39898155199808,-121.02,224.114,18000,0.00942437,12.483057391998045,-1260.73,0.172779,1.26891
-0.651878,3.6483837619998667,0.00793761,18,-183.76,206000,6.15538,-8.06186,701.634,577.427,1.08637068805,-2.67538,103.3217250280004,65.6779,-590.23,-584.501,0.333116,1.68638,0.458548,-1.88479,2289.9110265169984,0.0,0.858333,1.00495,184.185,250.27444458007812,2.68141,-1114.68,0.895879,250.27444458007812,0,0.839690024694,119.44241424599932,-196.137,190.565,19000,0.00581557,12.472305455999049,-1176.7,0.654267,0.942529
-0.604225,3.5234663140008706,0.00152191,19,-179.26,216000,6.06071,-6.72963,1876.19,648.999,3.42700624091,-2.48674,104.16933899499963,45.0615,-658.206,-650.378,0.257508,1.84379,0.21497,-1.63872,2409.697107553001,0.266351777096,0.964956,1.1536,186.031,261.3096008300781,2.76091,-1046.79,2.16022,261.3096008300781,0,0.312288587525,119.78939722600171,-188.396,193.049,20000,0.000944003,12.096591917001206,-1153.32,0.511739,2.81028
-0.74134,3.5204029260003153,-0.195742,20,-173.442,226000,6.35941,-7.91551,658.064,574.275,3.73361021358,-2.68046,104.04111937400012,44.6243,-584.655,-571.7,0.357233,1.89332,0.351976,-2.04265,2529.313253535004,0.905697447148,1.30366,1.12892,250.412,352.80059814453125,2.67979,-1183.04,1.68414,352.80059814453125,0,0.361099126115,119.6565483250024,-174.251,250.262,21000,0.00111631,12.095026025001971,-1163.16,0.675324,1.1839
