Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0028761018,0.0006776353,251.90417,251.90417,29.294418,1.897195,-1.3392586,0.003292673,0.00023386351,0.0039082672,0.0026726695,-0.003031417,0.00032442005,-0.002328803,-0.003996072,-1.3357832,0.3089513,-0.5244849,-3.502805,0.0010692382,0.00045691172,0.0015975218,0.00049465935,0.0008270147,0.00015452664,0.0010566283,0.00060029945,0.23905261,7.4658203,0.15,2.3,3.2,1000,22000,0,119.30391237977892,0,26.82519295066595,146.12910533044487,171.1506441757083,0
0.20387253,0.74636996,4.5420685,4.5420685,51.567352,1.9992373,-6.1905684,4.8295035,3.5694404,74.44583,1.9672841,6.408117,2.8683944,37.514923,3.2581186,-1.295794,0.3966523,1.939898,-4.122901,0.12892036,0.16536483,1.3458046,-0.5015365,-0.15328953,0.08102248,-0.11190151,-1.1066924,0.13593426,0.73828447,0.0,4.1,4.5,2000,32000,0,102.05140061210841,25.023672925308347,13.483905735425651,140.5589792728424,313.0942667797208,1
0.4014132,0.7168989,10.834127,10.834127,185.6911,12.387941,-13.069506,11.882399,19.401234,370.11218,3.427985,13.746178,21.157143,386.319,4.47411,-0.92866087,1.1884811,6.432229,-6.3220377,0.25783733,0.4606533,2.5660763,-0.2119308,-0.19121774,0.20292586,-0.07780281,-2.1174645,0.24627504,0.6597525,0.875,7.1,5.025,3000,42000,0,100.00354646425694,26.408032262697816,13.774004943668842,140.1855836706236,452.9983727745712,2
0.6480529,0.526388,50.194756,50.194756,473.71613,21.973797,-16.028114,14.618167,25.440948,538.4295,4.547796,17.426569,27.355463,548.1449,5.7319436,-0.9776937,0.9615516,5.9828086,-5.833089,0.20913485,0.43902162,2.3111959,-0.5471368,-0.20443177,0.23196384,-0.038199056,-2.0000038,2.4955258,9.48355,3.025,10.25,6.425,4000,52000,0,101.02665437851101,26.126650956459343,14.326492849737406,141.47979818470776,595.1363494815305,3
0.39156684,0.29227772,47.82124,47.82124,427.36465,24.70249,-22.024801,19.80944,44.559834,810.3784,4.2578154,23.869091,47.57617,934.625,6.1086254,-0.63651496,1.4752007,11.62746,-8.788349,0.22930107,0.67645323,3.4922595,-1.1052611,-0.20776126,0.20096262,0.0013305563,-1.7054669,1.6059306,7.810918,4.7,11.775,13.55,5000,62000,0,99.41626052372158,26.78487729653716,14.259915873408318,140.46105369366705,736.1638666177168,4
0.7021986,0.08001391,58.373924,58.373924,1093.9856,23.8829,-38.87491,35.818768,61.39301,691.5577,4.2303824,38.420288,62.60965,707.0017,3.8726158,0.20306751,1.7869172,8.2925625,-6.3336678,0.44548783,0.9613882,3.196822,-2.0520332,-0.34206027,0.22190529,0.10916169,-1.7439998,0.12084808,1.8810669,2.125,10.05,10.85,6000,72000,0,98.99275909364223,27.35145821608603,14.48675652127713,140.8309738310054,877.5315737500787,5
0.6771699,0.050288506,93.59821,93.59821,3546.165,32.518333,-87.887825,86.630775,119.13605,572.6678,3.9203534,87.40011,115.492165,573.4125,4.2498183,0.8509607,1.8332165,5.841649,-7.2265596,0.75950134,0.9440356,3.7059126,-1.6221316,-0.5243982,0.4345346,0.25015262,-2.1361148,0.22476725,1.0837837,2.7,16.425,14.75,7000,82000,0,99.8703551767394,27.888383960351348,14.959549339488149,142.7182884765789,1019.7495244098827,6
0.33360463,0.28928214,90.25496,90.25496,1928.1146,21.402588,-63.818546,59.755264,88.022484,678.3712,2.472106,63.80369,90.85593,715.27515,4.19111,0.7597312,1.9748552,8.292194,-8.634134,0.63343894,1.0444628,3.7298782,-1.9287379,-0.41420424,0.34595525,0.31502986,-2.9179375,0.21906522,0.7268499,3.725,20.75,17.3,8000,92000,0,101.38542284909636,27.38803935237229,14.76483100745827,143.53829320892692,1163.8946824520826,7
0.4422322,0.15086052,124.17886,124.17886,2704.7651,102.43887,-91.21405,85.96984,140.9282,874.5994,1.0422474,94.00596,150.1336,926.828,3.8647158,1.1734376,2.038281,7.6059175,-10.661201,0.8963842,0.98867095,3.3121777,-2.558946,-0.49227738,0.41014308,0.14765665,-2.859723,0.557058,0.040286206,3.7,17.25,12.475,9000,102000,0,100.21175187453628,27.99498225003481,14.224667594768107,142.4314017193392,1307.5495143076405,8
0.5684942,0.25381318,137.61856,137.61856,4431.715,71.20152,-107.14358,101.44862,151.23933,732.3799,2.0336003,105.252884,155.89465,769.7958,4.4837384,1.1110382,2.252662,9.142569,-7.179637,0.78137237,1.0912837,3.6845553,-3.1683152,-0.4890181,0.42018712,0.7609932,-2.597951,0.78685796,0.045388352,4.9,19.425,21.675,10000,112000,0,107.93288494739681,29.218387727625668,14.798074297606945,151.94934697262943,1459.7763817114756,9
0.21656899,0.2006774,114.88044,114.88044,4297.0566,88.56502,-97.22054,94.425644,139.71674,742.8135,2.1811204,100.438156,141.68173,795.8661,4.839678,1.029963,2.1196728,11.112364,-6.7408276,0.061379466,1.2851406,3.2033947,-3.7322872,-0.4931392,0.35124457,0.41869867,-2.073283,1.0503658,0.08314396,5.025,26.075,16.325,11000,122000,0,100.50176642555743,29.49618379212916,15.231309676542878,145.22925989422947,1605.2712870799005,10
0.33227652,0.2220343,113.630905,113.630905,3218.9807,68.21574,-89.38817,84.6927,125.9991,982.8838,2.4160447,89.03099,129.22937,1101.0704,0.45956984,0.9613441,2.1163857,11.459393,-5.672754,0.45251969,1.2166486,4.397271,-2.8398561,-0.4442538,0.3309804,0.42584157,-2.5560164,0.68372315,0.6909696,6.0,20.975,15.15,12000,132000,0,100.48534260876477,29.761740116402507,15.136760118417442,145.38384284358472,1750.5700840353966,11
0.9599312,0.006062808,107.68012,107.68012,2045.4478,92.463715,-70.36339,67.10861,100.34692,638.7017,2.659888,73.96543,104.00993,653.87726,1.1100496,0.9067026,2.241575,16.38817,-7.7711797,0.019192297,1.2988881,5.8272824,-6.022992,-0.43841746,0.3231273,0.64537376,-2.4135654,1.1259682,0.060224283,6.55,16.6,21.7,13000,142000,0,121.70286030881107,29.676995339803398,14.892433849163353,166.27228949777782,1916.1892880052328,12
0.9882808,0.0058483756,122.049286,122.049286,3895.9055,89.02493,-111.59565,105.83375,131.53723,737.5629,1.5801797,109.786804,132.97015,738.9377,0.5330527,1.3146558,2.249474,8.253895,-6.4406114,0.102449015,1.391294,4.0761952,-2.7259715,-0.5426446,0.34210825,0.4696897,-2.4541783,0.94830143,0.5279946,6.225,17.525,20.225,14000,152000,0,127.78652821201831,29.02384417038411,15.124593807384372,171.9349661897868,2087.9630269585177,13
