Q Predictions Min,KL Loss,Policy mu Std,Z variance train,Sample Time (s),Policy mu Min,AverageReturn_all_test_tasks,Number of train steps total,Policy log std Max,Log Pis Max,Q Predictions Mean,Z mean eval,Total Train Time (s),AverageTrainReturn_all_train_tasks,Epoch Time (s),Policy log std Std,QF Loss,Z mean train,Epoch,(Previous) Eval Time (s),Z variance eval,Q Predictions Std,Policy log std Min,Log Pis Mean,V Predictions Min,V Predictions Mean,Policy mu Max,Log Pis Std,Q Predictions Max,Train Time (s),Policy Loss,AverageReturn_all_train_tasks,VF Loss,KL Divergence,V Predictions Max,Policy log std Mean,Number of env steps total,Log Pis Min,V Predictions Std,Policy mu Mean,Number of rollouts total
-1054.76,153.04519653320312,1.3636,0.0162082,12.363891180999872,-2.40472,0.2091135326,11000,-0.0402731,6.76223,-615.754,0.761912,1326.714554324001,0.0,119.26733048300002,0.19184,1025.04,0.282628,10,3.5909242970001287,2.26436,156.193,-1.53933,1.33041,-999.856,-597.516,2.67298,1.73055,-173.446,103.31251500500002,603.751,0.0,60.3639,153.04519653320312,-174.552,-0.654224,126000,-7.05269,147.522,0.189974,0
-1015.95,256.3172607421875,1.33752,0.00183831,12.50128347600048,-1.95873,0.0,12000,-0.18286,7.87799,-481.109,0.508036,1446.0057738210019,0.506849578366,119.29241849900063,0.3276,858.608,1.54508,11,3.6565480160002153,1.69645,215.654,-1.72855,1.63915,-984.225,-455.051,3.04661,1.84336,-109.225,103.13458700699994,468.156,0.0,205.204,256.3172607421875,-107.866,-0.784252,136000,-7.60986,207.19,0.486696,0
-1125.11,218.77426147460938,1.32492,0.000582588,12.465933901000426,-2.49547,0.0,13000,-0.241605,7.23392,-572.554,0.669832,1565.510806830003,2.52566116072,119.51650097400034,0.328174,833.035,1.76654,12,3.6555310670000836,1.92081,217.704,-1.86181,1.50539,-1054.24,-553.582,2.8372,1.90405,-106.649,103.39503600599983,560.321,0.0,64.6015,218.77426147460938,-108.626,-0.773818,146000,-6.83159,209.676,0.390683,0
-1049.14,200.10150146484375,1.26257,0.0125354,12.490479806999247,-2.33462,0.148034241479,14000,-0.219037,7.00088,-585.741,0.80096,1684.7478747170028,1.63459498359,119.2214803489992,0.192163,629.373,0.24509,13,3.644365552000181,2.20712,175.062,-1.57746,1.26447,-992.947,-566.009,2.67163,1.90666,-149.923,103.08663498999977,573.466,0.0,102.367,200.10150146484375,-128.3,-0.649239,156000,-7.21158,175.593,0.525911,0
-1274.95,176.45736694335938,1.21615,0.00663058,12.494556207998812,-2.4715,0.311635299588,15000,-0.255335,6.89481,-713.336,0.791523,1805.5078847620018,1.05679773879,120.87023978899879,0.272084,749.617,0.447214,14,3.6601480049998827,2.11509,215.773,-1.97879,1.61931,-1209.27,-690.227,3.12635,1.86499,-98.0227,104.7155355760001,700.324,0.494766892091,126.674,176.45736694335938,-103.925,-0.703553,166000,-6.14558,207.61,0.747342,0
-1106.75,178.76956176757812,1.19837,0.00754708,12.079656081000394,-2.36575,0.0,16000,-0.151684,8.01298,-647.977,0.838789,1925.937196546002,1.52243935978,120.44399254000064,0.180679,856.057,0.414624,15,3.5502776470002573,1.90647,194.999,-1.23044,1.11011,-1043.55,-637.432,3.15821,1.96179,-240.552,104.81405881199998,639.443,0.819229619359,14.281,178.76956176757812,-240.594,-0.663515,176000,-5.27495,195.242,0.513202,0
-1232.72,157.86672973632812,0.986819,0.0263384,11.964965596999718,-2.47355,0.0,17000,-0.207199,6.50322,-754.87,0.785617,2046.2015263040018,1.14545586021,120.25627304899945,0.28434,1262.56,0.486407,16,3.5357415230000697,1.68324,186.968,-1.994,0.848124,-1169.4,-748.981,2.76229,1.69707,-105.659,104.75556592899966,746.718,0.120825469619,17.1046,157.86672973632812,-116.6,-0.722755,186000,-7.10043,183.22,0.616782,0
-1119.62,210.24545288085938,1.134,0.0164929,12.079050264000216,-2.67928,0.0,18000,-0.137203,7.07834,-631.619,0.980257,2166.7260354340015,0.0,120.55653968299976,0.319988,919.5,0.161497,17,3.544064034999792,1.53333,226.05,-2.05714,0.945398,-1072.63,-628.286,2.88885,1.83557,-89.8952,104.93342538399975,624.527,0.0,25.2443,210.24545288085938,-102.604,-0.723548,196000,-5.86603,221.698,0.410053,0
-1175.94,168.64642333984375,1.12609,0.00708319,12.056945359000565,-2.96227,0.480864498057,19000,-0.120633,7.89826,-735.097,0.952611,2286.987531329002,1.1302223694,120.25933228800022,0.200279,795.919,0.236621,18,3.5123294279997026,1.55903,160.928,-1.29738,0.774045,-1147.94,-741.977,2.78887,1.88362,-255.16,104.69005750099996,721.564,0.221191859317,438.357,168.64642333984375,-263.626,-0.656285,206000,-8.18186,161.577,0.377994,0
-1368.4,197.47799682617188,1.08429,0.00751155,12.086653890999969,-2.52021,0.0,20000,-0.136731,7.3781,-677.995,0.265606,2407.269822222001,1.54843531935,120.27968759000032,0.347388,1082.01,0.21446,19,3.5147112370000286,0.620175,235.8,-2.00699,0.899401,-1262.82,-673.083,2.82621,1.85593,-92.9063,104.67832246200032,671.121,0.757392664995,11.789,197.47799682617188,-101.244,-0.729627,216000,-5.39585,229.44,0.477981,0
-1168.76,190.72210693359375,1.11504,0.0134433,12.061192837001727,-2.9642,0.35432511413,21000,-0.0957783,8.97708,-657.983,0.525137,2527.5247524470037,3.27834322092,120.26146245100153,0.30144,682.574,0.202328,20,3.5175693310002316,1.07363,232.59,-1.88884,0.956142,-1076.66,-647.815,3.33178,1.96557,-105.941,104.68270028299958,648.213,1.16532782656,22.4636,190.72210693359375,-96.1932,-0.743444,226000,-7.91495,231.634,0.503419,0
